Circuit: * C:\Users\maksym\source\repos\Dohle\String Maschine\simulations\Draft2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.55606e-009 to 4.68106e-009
Heightened Def Con from 5.53826e-009 to 6.5385e-009
Heightened Def Con from 6.53898e-009 to 7.66398e-009
Heightened Def Con from 8.52528e-009 to 9.52552e-009
Heightened Def Con from 9.526e-009 to 1.0651e-008
Heightened Def Con from 1.15162e-008 to 1.25164e-008
Heightened Def Con from 1.25169e-008 to 1.36419e-008
Heightened Def Con from 1.45108e-008 to 1.5511e-008
Heightened Def Con from 1.55115e-008 to 1.66365e-008
Heightened Def Con from 1.75091e-008 to 1.85093e-008
Heightened Def Con from 1.85098e-008 to 1.96348e-008
Heightened Def Con from 2.05109e-008 to 2.15111e-008
Heightened Def Con from 2.15116e-008 to 2.26366e-008
Heightened Def Con from 2.35159e-008 to 2.45162e-008
Heightened Def Con from 2.45167e-008 to 2.56417e-008
Heightened Def Con from 2.65234e-008 to 2.75236e-008
Heightened Def Con from 2.75242e-008 to 2.86492e-008
Heightened Def Con from 2.9534e-008 to 3.05343e-008
Heightened Def Con from 3.05348e-008 to 3.16598e-008
Heightened Def Con from 3.25476e-008 to 3.35479e-008
Heightened Def Con from 3.35484e-008 to 3.46734e-008
Heightened Def Con from 3.5564e-008 to 3.65642e-008
Heightened Def Con from 3.65648e-008 to 3.76898e-008
Heightened Def Con from 3.85829e-008 to 3.95831e-008
Heightened Def Con from 3.95837e-008 to 4.07087e-008
Heightened Def Con from 4.16043e-008 to 4.26046e-008
Heightened Def Con from 4.26051e-008 to 4.37301e-008
Heightened Def Con from 4.46281e-008 to 4.56283e-008
Heightened Def Con from 4.56289e-008 to 4.67539e-008
Heightened Def Con from 4.7654e-008 to 4.86543e-008
Heightened Def Con from 4.86548e-008 to 4.97798e-008
Heightened Def Con from 5.06821e-008 to 5.16824e-008
Heightened Def Con from 5.16829e-008 to 5.28079e-008
Heightened Def Con from 5.37121e-008 to 5.47124e-008
Heightened Def Con from 5.4713e-008 to 5.5838e-008
Heightened Def Con from 5.67441e-008 to 5.77444e-008
Heightened Def Con from 5.77449e-008 to 5.88699e-008
Heightened Def Con from 5.97779e-008 to 6.07781e-008
Heightened Def Con from 6.07787e-008 to 6.19037e-008
Heightened Def Con from 6.28127e-008 to 6.3813e-008
Heightened Def Con from 6.38135e-008 to 6.49385e-008
Heightened Def Con from 6.58493e-008 to 6.68495e-008
Heightened Def Con from 6.68501e-008 to 6.79751e-008
Heightened Def Con from 6.88875e-008 to 6.98877e-008
Heightened Def Con from 6.98883e-008 to 7.10133e-008
Heightened Def Con from 7.19271e-008 to 7.29274e-008
Heightened Def Con from 7.29279e-008 to 7.40529e-008
Heightened Def Con from 7.49665e-008 to 7.59667e-008
Heightened Def Con from 7.59673e-008 to 7.70923e-008
Heightened Def Con from 7.80073e-008 to 7.90076e-008
Heightened Def Con from 7.90081e-008 to 8.01331e-008
Heightened Def Con from 8.10494e-008 to 8.20497e-008
Heightened Def Con from 8.20502e-008 to 8.31752e-008
Heightened Def Con from 8.40928e-008 to 8.5093e-008
Heightened Def Con from 8.50936e-008 to 8.62186e-008
Heightened Def Con from 8.71373e-008 to 8.81375e-008
Heightened Def Con from 8.81381e-008 to 8.92631e-008
Heightened Def Con from 9.01828e-008 to 9.11831e-008
Heightened Def Con from 9.11837e-008 to 9.23087e-008
Heightened Def Con from 9.32295e-008 to 9.42297e-008
Heightened Def Con from 9.42303e-008 to 9.53553e-008
Heightened Def Con from 9.62771e-008 to 9.72773e-008
Heightened Def Con from 9.72779e-008 to 9.84029e-008
Heightened Def Con from 9.93256e-008 to 1.00326e-007
Heightened Def Con from 1.00326e-007 to 1.01451e-007
Heightened Def Con from 1.02375e-007 to 1.03375e-007
Heightened Def Con from 1.03376e-007 to 1.04501e-007
Heightened Def Con from 1.05425e-007 to 1.06425e-007
Heightened Def Con from 1.06426e-007 to 1.07551e-007
Heightened Def Con from 1.08476e-007 to 1.09476e-007
Heightened Def Con from 1.09477e-007 to 1.10602e-007
Heightened Def Con from 1.11528e-007 to 1.12528e-007
Heightened Def Con from 1.12529e-007 to 1.13654e-007
Heightened Def Con from 1.1458e-007 to 1.15581e-007
Heightened Def Con from 1.15581e-007 to 1.16706e-007
Heightened Def Con from 1.17633e-007 to 1.18634e-007
Heightened Def Con from 1.18634e-007 to 1.19759e-007
Heightened Def Con from 1.20687e-007 to 1.21687e-007
Heightened Def Con from 1.21688e-007 to 1.22813e-007
Heightened Def Con from 1.23741e-007 to 1.24742e-007
Heightened Def Con from 1.24742e-007 to 1.25867e-007
Heightened Def Con from 1.26796e-007 to 1.27796e-007
Heightened Def Con from 1.27797e-007 to 1.28922e-007
Heightened Def Con from 1.29852e-007 to 1.30852e-007
